Genus,Guild1,Guild2,Guild3,References,,,
Rhodoplanes,PlantBeneficial,PGP,NitrogenFixation/IAA,"Buckley DH, Huangyutitham V, Hsu SF, and Nelson TA. 2007. Stable isotope probing with 15N2 reveals novel noncultivated diazotrophs in soil. Appl Environ Microbiol73:3196每3204.","Seker, M. G., Sah, I., Kird?k, E., Ekinci, H., ?ift?i, Y. ?., & Akkaya, ?. (2017). A hidden plant growth promoting bacterium isolated from in vitro cultures of fraser photinia (Photinia℅ fraseri).?International Journal of Agriculture and Biology,?19(6), 1511-1519.",,
Rhodopseudomonas,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Rivularia,PlantBeneficial,PGP,,"Sivalingam, K. M., & Batiri, A. (2020). Isolation and identification of some cyanobacteria and their plant growth promoting effect on wheat (Triticum aestivum L.), Ethiopia.?Journal of Science and Inclusive Development, 17-37.",,,
Roseivivax,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Roseomonas,PlantBeneficial,PGP,PSolubilization/Siderophores,"Tchakount谷, G. V. T., Berger, B., Patz, S., Fankem, H., & Ruppel, S. (2018). Community structure and plant growth-promoting potential of cultivable bacteria isolated from Cameroon soil. Microbiological Research, 214, 47-59.",,,
Roseovarius,PlantBeneficial,PGP,ACC,"Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.",,,
Rothia,PlantBeneficial,PGP,NitrogenFixation/IAA/Siderophores,"Evangelista, E. V., Garcia, F. C., & Cruz, J. A. (2017). Isolation, characterization and identification of plant growth-promoting rhizobacteria.?Int J Agric Technol,?13, 715-727.",,,
Rubrivivax,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Rubrobacter,PlantBeneficial,PGP,IAA-derivatives,"Li, J. L., Huang, L., Liu, J., Song, Y., Gao, J., Jung, J. H., ... & Chen, G. (2015). Acetylcholinesterase inhibitory dimeric indole derivatives from the marine actinomycetes Rubrobacter radiotolerans.?Fitoterapia,?102, 203-207.","Trivedi, K., Kumar, R., Vijay Anand, K. G., Bhojani, G., Kubavat, D., & Ghosh, A. (2022). Structural and functional changes in soil bacterial communities by drifting spray application of a commercial red seaweed extract as revealed by metagenomics. Archives of Microbiology, 204(1), 1-21.",,
Ruegeria,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Ruminobacter,PlantBeneficial,PGP,IAA/Psolubilization/Siderophores,"Mello, L. D. P. S., dos Santos, A. C., dos Santos, R. M., Kandasamy, S., Lazarovits, G., & Rigobelo, E. C. (2020). Application of the bacterial strains' Ruminobacter amylophilus, Fibrobacter succinogenes and Enterococcus faecium'for growth promotion in maize and soybean plants.?Australian Journal of Crop Science,?14(12), 2020-2027.",,,
Saccharomonospora,PlantBeneficial,PGP,IAA/NitrogenFixation/Ksolubilization,"Nafis, A., Raklami, A., Bechtaoui, N., El Khalloufi, F., El Alaoui, A., Glick, B. R., ... & Hassani, L. (2019). Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials.?Diversity,?11(8), 139.",,,
Saccharopolyspora,PlantBeneficial,PGP,ACC,"Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.",,,
Saccharothrix,PlantBeneficial,PGP,,"Kour, D., Rana, K. L., Yadav, N., Yadav, A. N., Kumar, A., Meena, V. S., ... & Saxena, A. K. (2019). Rhizospheric microbiomes: biodiversity, mechanisms of plant growth promotion, and biotechnological applications for sustainable agriculture. In Plant Growth Promoting Rhizobacteria for Agricultural Sustainability (pp. 19-65). Springer, Singapore.",,,
Sagittula,PlantBeneficial,PGP,ACC,"Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.",,,
Salinicola,PlantBeneficial,PGP/StressResistance,IAA/Halotolerant,"Vo, T. N. H. (2021). Morphological and molecular characterization of plant growth promoting salt-tolerant bacteria associated with halophytes in the Southeast seaside of Vietnam.?The Journal of Agriculture and Development,?20(6), 17-26.","Zhao, G. Y., Zhao, L. Y., Xia, Z. J., Zhu, J. L., Liu, D., Liu, C. Y., ... & Dai, M. X. (2017). Salinicola tamaricis sp. nov., a heavy-metal-tolerant, endophytic bacterium isolated from the halophyte Tamarix chinensis Lour.?International Journal of Systematic and Evolutionary Microbiology,?67(6), 1813-1819.",,
Salinispora,PlantBeneficial,PGP/StressResistance,ACC/Halotolerant,"Becerril-Espinosa, A., Hern芍ndez-Herrera, R. M., Meza-Canales, I. D., Perez-Ramirez, R., Rodr赤guez-Zaragoza, F. A., M谷ndez-Mor芍n, L., ... & Ocampo-Alvarez, H. (2022). Habitat-adapted heterologous symbiont Salinispora arenicola promotes growth and alleviates salt stress in tomato crop plants.?Frontiers in plant science, 2839.","Ocampo-Alvarez, H., Meza-Canales, I. D., Mateos-Salm車n, C., Rios-Jara, E., Rodr赤guez-Zaragoza, F. A., Robles-Murgu赤a, C., ... & Becerril-Espinosa, A. (2020). Diving into reef ecosystems for land-agriculture solutions: coral microbiota can alleviate salt stress during germination and photosynthesis in terrestrial plants.?Frontiers in plant science,?11, 648.",,
Salmonella,PlantHarmful/Beneficial,Plant pathogen/PGP,ACC/Psolubilization,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Abed, R. M., Al-Kharusi, S., Gkorezis, P., Prigent, S., & Headley, T. (2018). Bacterial communities in the rhizosphere of Phragmites australis from an oil-polluted wetland.?Archives of Agronomy and Soil Science,?64(3), 360-370.",,
Sanguibacter,PlantBeneficial,Biocontrol/PGP,IAA/ACC/Psolubilization/Siderophores,"Lobna, M., & Zawam, H. (2010). Efficacy of some biocontrol agents on reproduction and development of Meloidogyne incognita infecting tomato.?Journal of American Science,?6(11), 495-509.","Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,
Scytonema,PlantBeneficial,PGP,Plant growth hormone,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Sediminibacillus,PlantBeneficial,PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,,
Serinicoccus,PlantBeneficial,PGP,NitrogenFixation/IAA,"Liu, B., Eltanahy, E. E., Liu, H., Chua, E. T., Thomas-Hall, S. R., Wass, T. J., ... & Schenk, P. M. (2020). Growth-promoting bacteria double eicosapentaenoic acid yield in microalgae.?Bioresource Technology,?316, 123916.",,,
Serratia,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant/Siderophores,"De Vleesschauwer, D., & H?fte, M. (2003). Using Serratia plymuthica to control fungal pathogens of plants.?CAB Reviews,?2(046).","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",,
Shinella,PlantBeneficial,PGP,,"Taul谷, C., Castillo, A., Villar, S., Olivares, F., & Battistoni, F. (2016). Endophytic colonization of sugarcane (Saccharum officinarum) by the novel diazotrophs Shinella sp. UYSO24 and Enterobacter sp. UYSO10.?Plant and Soil,?403(1), 403-418.",,,
Sinomicrobium,PlantBeneficial,PGP,IAA,"Li, L. F., Xu, L., Li, W. H., & Sun, J. Q. (2022). Sinomicrobium kalidii sp. nov., an indole-3-acetic acid-producing endophyte from a shoot of halophyte Kalidium cuspidatum.?International Journal of Systematic and Evolutionary Microbiology,?72(7), 005452.",,,
Sinomonas,PlantBeneficial,PGP/StressResistance,PSolubilization/Halotolerant,"Tchakount谷, G. V. T., Berger, B., Patz, S., Fankem, H., & Ruppel, S. (2018). Community structure and plant growth-promoting potential of cultivable bacteria isolated from Cameroon soil. Microbiological Research, 214, 47-59.",,,
Sinorhizobium,PlantHarmful/Beneficial,Plant pathogen/PGP,IAA/ACC/Siderophores,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Siphonobacter,PlantBeneficial,PGP,IAA,"Rattanapolsan, L., Nakbanpote, W., & Sangdee, A. (2021). Zinc-and cadmium-tolerant endophytic bacteria from Murdannia spectabilis (Kurz) Faden. studied for plant growth-promoting properties, in vitro inoculation, and antagonism.?Archives of Microbiology,?203(3), 1131-1148.",,,
Skermanella,PlantBeneficial,Biocontrol/PGP,Siderophores,"Panneerselvam, P., Kumar, U., Sahu, S., Mohapatra, S. D., Dangar, T. K., Parameswaran, C., ... & Govindharaj, G. P. P. (2018). Larvicidal potential of Skermanella sp. against rice leaf folder (Cnaphalocrosis medinalis Guenee) and pink stem borer (Sesamia inferens Walker). Journal of invertebrate pathology, 157, 74-79.",,,
Solibacillus,PlantBeneficial,PGP/StressResistance,IAA/PSolubilization/Halotolerant/Siderophores,"Tchakount谷, G. V. T., Berger, B., Patz, S., Fankem, H., & Ruppel, S. (2018). Community structure and plant growth-promoting potential of cultivable bacteria isolated from Cameroon soil. Microbiological Research, 214, 47-59.",,,
Sphaerisporangium,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Sphingobacterium,PlantBeneficial,PGP,IAA/ACC/PSolubilization/Siderophores,"Ahmed, I., Ehsan, M., Sin, Y., Paek, J., Khalid, N., Hayat, R., & Chang, Y. H. (2014). Sphingobacterium pakistanensis sp. nov., a novel plant growth promoting rhizobacteria isolated from rhizosphere of Vigna mungo. Antonie van Leeuwenhoek, 105(2), 325-333.",,,
Sphingobium,PlantBeneficial,PGP,IAA,"Boss, B. L., Wanees, A. E., Zaslow, S. J., Normile, T. G., & Izquierdo, J. A. (2022). Comparative genomics of the plant-growth promoting bacterium Sphingobium sp. strain AEW4 isolated from the rhizosphere of the beachgrass Ammophila breviligulata.?BMC genomics,?23(1), 1-14.","Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,
Sphingomonas,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/PSolubilization/Ksolubilization/IAA/ACC/Siderophores/Halotolerant,"Kim, H., Nishiyama, M., Kunito, T., Senoo, K., Kawahara, K., Murakami, K., & Oyaizu, H. (1998). High population of Sphingomonas species on plant surface.?Journal of applied microbiology,?85(4), 731-736.","Okazaki, K., Tsurumaru, H., Hashimoto, M., Takahashi, H., Okubo, T., Ohwada, T., ... & Ikeda, S. (2021). Community analysis-based screening of plant growth-promoting bacteria for sugar beet. Microbes and environments, 36(2), ME20137.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",
Sphingopyxis,PlantBeneficial,PGP,IAA/PSolubilization,"Dias, A. C., Costa, F. E., Andreote, F. D., Lacava, P. T., Teixeira, M. A., Assump ao, L. C., ... & Melo, I. S. (2009). Isolation of micropropagated strawberry endophytic bacteria and assessment of their potential for plant growth promotion. World Journal of Microbiology and Biotechnology, 25(2), 189-195.","Okazaki, K., Tsurumaru, H., Hashimoto, M., Takahashi, H., Okubo, T., Ohwada, T., ... & Ikeda, S. (2021). Community analysis-based screening of plant growth-promoting bacteria for sugar beet. Microbes and environments, 36(2), ME20137.",,
Spirillospora,PlantBeneficial,Biocontrol,,"Palaniyandi, S. A., Yang, S. H., Zhang, L., & Suh, J. W. (2013). Effects of actinobacteria on plant disease suppression and growth promotion. Applied microbiology and biotechnology, 97(22), 9621-9636.",,,
Sporolactobacillus,PlantBeneficial,PGP,IAA,"Verma, P., Yadav, A. N., Khannam, K. S., Saxena, A. K., & Suman, A. (2017). Potassium-solubilizing microbes: diversity, distribution, and role in plant growth promotion. In?Microorganisms for green revolution?(pp. 125-149). Springer, Singapore.",,,
Sporosarcina,PlantBeneficial,Biocontrol/PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Janarthine, S., & Eganathan, P. (2012). Plant growth promoting of endophytic Sporosarcina aquimarina SjAM16103 isolated from the pneumatophores of Avicennia marina L. International journal of microbiology, 2012.",,,
Staphylococcus,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Yun, B. R., Roh, S. G., & Kim, S. B. (2017). Diversity and physiological properties of soil actinobacteria in Ulleung Island.?Korean Journal of Microbiology,?53(4), 242-250.",,
Stappia,PlantBeneficial,PGP,ACC,"Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.",,,
Starkeya,PlantBeneficial,PGP,,"Valdez-Nu ez, R. A., Castro-Tuanama, R., Castellano-Hinojosa, A., Bedmar, E. J., & R赤os-Ruiz, W. F. (2019). PGPR Characterization of Non-Nodulating Bacterial Endophytes from Root Nodules of Vigna unguiculata (L.) Walp. In Microbial Probiotics for Agricultural Systems (pp. 111-126). Springer, Cham.",,,
Stenotrophomonas,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP,NitrogenFixation/PSolubilization/Ksolubilization,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.","Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome.?Science,?353(6305), 1272-1277.","Aslani, M. A., Harighi, B., & Abdollahzadeh, J. (2018). Screening of endofungal bacteria isolated from wild growing mushrooms as potential biological control agents against brown blotch and internal stipe necrosis diseases of Agaricus bisporus.?Biological Control,?119, 20-26.",
Streptacidiphilus,PlantBeneficial,Biocontrol,,"Kim, T. U., Cho, S. H., Han, J. H., Shin, Y. M., Lee, H. B., & Kim, S. B. (2012). Diversity and physiological properties of root endophytic actinobacteria in native herbaceous plants of Korea.?The Journal of Microbiology,?50(1), 50-57.",,,
Streptoalloteichus,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Streptomyces,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant/Siderophores,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.","Shabanamol, S., Divya, K., George, T. K., Rishad, K. S., Sreekumar, T. S., & Jisha, M. S. (2018). Characterization and in planta nitrogen fixation of plant growth promoting endophytic diazotrophic Lysinibacillus sphaericus isolated from rice (Oryza sativa). Physiological and Molecular Plant Pathology, 102, 46-54.","Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592."
Streptosporangium,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Subtercola,PlantBeneficial,PGP,,"Jiang, L., Peng, Y., Seo, J., Jeon, D., Jo, M. G., Lee, J. H., ... & Lee, J. (2022). Subtercola endophyticus sp. nov., a cold-adapted bacterium isolated from Abies koreana.?Scientific reports,?12(1), 1-13.",,,
Sulfitobacter,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Sulfuritalea,PlantBeneficial,PGP,NutritionalAssimilation,"Shao, T., Long, X., Liu, Y., Gao, X., Liu, M., & Rengel, Z. (2021). Effect of industrial crop Jerusalem artichoke on the micro-ecological rhizosphere environment in saline soil. Applied Soil Ecology, 166, 104080.",,,
Swaminathania,PlantBeneficial,PGPR,NitrogenFixation/PSolubilization/Halotolerant,"Ponnusamy, L., & Nair, S. (2004). Swaminathania salitolerans gen. nov., sp. nov., a salt-tolerant, nitrogen-fixing and phosphate-solubilizing bacterium from wild rice (Porteresia coarctata Tateoka).International Journal of Systematic and Evolutionary Microbiology, 54:1185-1190.",,,
Synechococcus,PlantBeneficial,PGP,Plant growth hormone,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Synechocystis,PlantBeneficial,PGP,Cytokinin,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Telmatospirillum,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Terrabacter,PlantBeneficial,PGP,,"Chai, Y. N., Futrell, S., & Schachtman, D. P. (2022). Assessment of Bacterial Inoculant Delivery Methods for Cereal Crops. Frontiers in microbiology, 13, 791110.",,,
Terribacillus,PlantBeneficial,PGP/StressResistance,Halotolerant,"Orhan, F., & Demirci, A. (2020). Salt stress mitigating potential of halotolerant/halophilic plant growth promoting.?Geomicrobiology Journal,?37(7), 663-669.",,,
Thalassobacillus,PlantBeneficial,PGP,IAA/PSolubilization,"Tuesta-Popolizio, D. A., Vel芍zquez-Fern芍ndez, J. B., Rodriguez-Campos, J., & Contreras-Ramos, S. M. (2021). Isolation and identification of extremophilic bacteria with potential as plant growth promoters (PGPB) of a geothermal site: A case study. Geomicrobiology Journal, 38(5), 436-450.",,,
Thermoactinomyces,PlantBeneficial,PGP,IAA,"Verma, A., Singh, H., Anwar, M. S., Kumar, S., Ansari, M. W., & Agrawal, S. (2016). Production of thermostable organic solvent tolerant keratinolytic protease from Thermoactinomyces sp. RM4: IAA production and plant growth promotion.?Frontiers in Microbiology,?7, 1189.",,,
Thermobifida,PlantBeneficial,PGP,Siderophores,"Franco-Correa, M., Quintana, A., Duque, C., Suarez, C., Rodr赤guez, M. X., & Barea, J. M. (2010). Evaluation of actinomycete strains for key traits related with plant growth promotion and mycorrhiza helping activities.?Applied Soil Ecology,?45(3), 209-217.",,,
Thermonema,PlantBeneficial,PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,,
Thiobacillus,PlantBeneficial,PGP,,"Anandham, R., Sridar, R., Nalayini, P., Poonguzhali, S., & Madhaiyan, M. J. M. R. (2007). Potential for plant growth promotion in groundnut (Arachis hypogaea L.) cv. ALR-2 by co-inoculation of sulfur-oxidizing bacteria and Rhizobium.?Microbiological Research,?162(2), 139-153.","Kour, D., Rana, K. L., Yadav, N., Yadav, A. N., Kumar, A., Meena, V. S., ... & Saxena, A. K. (2019). Rhizospheric microbiomes: biodiversity, mechanisms of plant growth promotion, and biotechnological applications for sustainable agriculture. In Plant Growth Promoting Rhizobacteria for Agricultural Sustainability (pp. 19-65). Springer, Singapore.",,
Tistlia,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Trabulsiella,PlantBeneficial,PGP,NitrogenFixation/Psolubilization,"Kuppusamy, S., Thavamani, P., Megharaj, M., Lee, Y. B., & Naidu, R. (2016). Kinetics of PAH degradation by a new acid-metal-tolerant Trabulsiella isolated from the MGP site soil and identification of its potential to fix nitrogen and solubilize phosphorous.?Journal of Hazardous Materials,?307, 99-107.",,,
Treponema,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Trichormus,PlantBeneficial,PGP,Plant growth hormone,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Tsukamurella,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Tumebacillus,PlantBeneficial,Biocontrol,,"Meade, C. V., Bueno de Mesquita, C. P., Schmidt, S. K., & Suding, K. N. (2020). The presence of a foreign microbial community promotes plant growth and reduces filtering of root fungi in the arctic-alpine plant Silene acaulis. Plant Ecology & Diversity, 13(5-6), 377-390.",,,
Variovorax,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Vibrio,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Virgibacillus,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Weissella,PlantBeneficial,Biocontrol/PGP,IAA/Psolubilization/Siderophores,"Jaini, M. F. M., Roslan, N. F., Yusof, M. T., Saidi, N. B., Ramli, N., Zainudin, N. A. I. M., & Hashim, A. M. (2022). Investigating the Potential of Endophytic Lactic Acid Bacteria Isolated from Papaya Seeds as Plant Growth Promoter and Antifungal Agent.?Pertanika Journal of Tropical Agricultural Science,?45(1).",,,
Williamsia,PlantBeneficial,PGP,PSolubilization/IAA/Siderophores,"Yun, B. R., Roh, S. G., & Kim, S. B. (2017). Diversity and physiological properties of soil actinobacteria in Ulleung Island. Korean Journal of Microbiology, 53(4), 242-250.",,,
Xanthobacter,PlantBeneficial,PGP,NitrogenFixation/Psolubilization,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Xanthomonas,PlantHarmful/Beneficial,Plant pathogen/PGP,IAA,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Mansfield, J., Genin, S., Magori, S., Citovsky, V., Sriariyanum, M., Ronald, P., ... & Foster, G. D. (2012). Top 10 plant pathogenic bacteria in molecular plant pathology. Molecular plant pathology, 13(6), 614-629.",,
Xenorhabdus,PlantBeneficial,Biocontrol/PGP,ACC/Psolubilization,"Abed, R. M., Al-Kharusi, S., Gkorezis, P., Prigent, S., & Headley, T. (2018). Bacterial communities in the rhizosphere of Phragmites australis from an oil-polluted wetland.?Archives of Agronomy and Soil Science,?64(3), 360-370.","Ji, D., Yi, Y., Kang, G. H., Choi, Y. H., Kim, P., Baek, N. I., & Kim, Y. (2004). Identification of an antibacterial compound, benzylideneacetone, from Xenorhabdus nematophila against major plant-pathogenic bacteria.?FEMS Microbiology Letters,?239(2), 241-248.",,
Yersinia,PlantBeneficial,PGP,NitrogenFixation,"Elo, S., Maunuksela, L., Salkinoja-Salonen, M., Smolander, A., & Haahtela, K. (2000). Humus bacteria of Norway spruce stands: plant growth promoting properties and birch, red fescue and alder colonizing capacity.?FEMS microbiology ecology,?31(2), 143-152.",,,
Zhihengliuella,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Zobellella,PlantBeneficial,PGP,Psolubilization/Siderophores,"Khalilpour, M., Mozafari, V., & Abbaszadeh-Dahaji, P. (2021). Tolerance to salinity and drought stresses in pistachio (Pistacia vera L.) seedlings inoculated with indigenous stress-tolerant PGPR isolates.?Scientia Horticulturae,?289, 110440.",,,
Zoogloea,PlantBeneficial,PGP,NitrogenFixation,"Bilal, R., & Malik, K. A. (1987). Isolation and identification of a N2坼fixing zoogloea坼forming bacterium from kallar grass histoplane. Journal of Applied Bacteriology, 62(4), 289-294.","Mirza, M. S., Mehnaz, S., Normand, P., Prigent-Combaret, C., Mo nne-Loccoz, Y., Bally, R., & Malik, K. A. (2006). Molecular characterization and PCR detection of a nitrogen-fixing Pseudomonas strain promoting rice growth. Biology and Fertility of Soils, 43(2), 163-170.",,
Zymomonas,PlantBeneficial,PGP,Psolubilization/Siderophores,"Pant, R., Pandey, P., & Kotoky, R. (2016). Rhizosphere mediated biodegradation of 1, 4-dichlorobenzene by plant growth promoting rhizobacteria of Jatropha curcas. Ecological Engineering, 94, 50-56.",,,
